strategy,parameter,name,filename,N,size,periodic,symmetry,heuristic,attempts,contradictions,successes,contradiction_rate,avg_observations
Fixed,100,Qud,Qud_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,1973.9
Fixed,100,RedDot,RedDot_N3_size48.png,3,48,True,8,Entropy,100,2,98,2,2520.8
Fixed,100,ScaledMaze,ScaledMaze_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,2134.6
Fixed,100,Sewers,Sewers_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,828.7
Fixed,100,Skew1,Skew1_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,775.1
Fixed,100,Skew2,Skew2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,679.3
Fixed,100,SmileCity,SmileCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,244.7
Fixed,100,Spirals,Spirals_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,605
Fixed,100,Town,Town_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,476.2
Fixed,100,Wall,Wall_N2_size48.png,2,48,False,1,Entropy,100,0,100,0,391.7
Fixed,100,Wall,Wall_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,343.5
Fixed,100,Wall,Wall_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,303
Fixed,100,Lines,Lines_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,764.1
Fixed,100,WalledDot,WalledDot_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,416
Fixed,100,NotKnot,NotKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,493.8
Fixed,100,Sand,Sand_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1341.1
Fixed,100,Wrinkles,Wrinkles_N3_size120.png,3,120,True,8,MRV,100,0,100,0,4163.2
Fixed,100,3Bricks,3Bricks_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,803.4
Fixed,100,Circle,Circle_N3_size90.png,3,90,True,1,MRV,100,7,93,7,8830.4
Fixed,100,Circle,Circle_N4_size90.png,4,90,True,1,MRV,100,6,94,6,6885.6
Fixed,100,Disk,Disk_N3_size90.png,3,90,True,1,MRV,100,0,100,0,3072.9
Fixed,100,Disk,Disk_N3_size90.png,3,90,True,8,MRV,100,0,100,0,3271.2
Fixed,100,Disk,Disk_N4_size90.png,4,90,True,8,MRV,100,0,100,0,1953.4
Fixed,100,BrownFox,BrownFox_N4_size90.png,4,90,False,1,MRV,100,0,100,0,999.8
Fixed,200,Chess,Chess_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,1
Fixed,200,Skyline,Skyline_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,636.7
Fixed,200,Flowers,Flowers_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,595.6
Fixed,200,Hogs,Hogs_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,699.2
Fixed,200,Hogs,Hogs_N2_size48.png,2,48,True,8,Entropy,100,2,98,2,3445.3
Fixed,200,Knot,Knot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,843
Fixed,200,LessRooms,LessRooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,840.7
Fixed,200,Mountains,Mountains_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,453.7
Fixed,200,Office,Office_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,695.3
Fixed,200,Paths,Paths_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1116.8
Fixed,200,Platformer,Platformer_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,567.2
Fixed,200,Platformer,Platformer_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,476.6
Fixed,200,RedMaze,RedMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,634.4
Fixed,200,Rooms,Rooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,588.7
Fixed,200,Rule126,Rule126_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,118
Fixed,200,SimpleKnot,SimpleKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,739
Fixed,200,SimpleMaze,SimpleMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,1238
Fixed,200,SimpleWall,SimpleWall_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,304.9
Fixed,200,SimpleWall,SimpleWall_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,356.2
Fixed,200,SimpleWall,SimpleWall_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,603.6
Fixed,200,SimpleWall,SimpleWall_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,611.4
Fixed,200,TrickKnot,TrickKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,622.1
Fixed,200,Village,Village_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,542
Fixed,200,Water,Water_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,268.3
Fixed,200,Cat,Cat_N3_size80.png,3,80,True,2,Entropy,100,0,100,0,1493.6
Fixed,200,Cats,Cats_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,406.9
Fixed,200,Skyline2,Skyline2_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,848.2
